Auction Link,Time Left,Price,Location,Postal Code,Perperty Value,Low Range,High Range,Confidence
https://www.iamsold.co.uk/properties/00430bf353cd4ac2a9dffc79c625b31f.html,No information available for time.,"£90,000.00","6 Strawberry Gardens, Wallsend",NE28 8BA,Not known,None,None,None
https://www.iamsold.co.uk/properties/00430bf353cd4ac2a9dffc79c625b31f.html,No information available for time.,"£90,000.00","6 Strawberry Gardens, Wallsend",NE28 8BA,"£80,000"," £77,000 "," £83,000",97%
https://www.iamsold.co.uk/properties/00430bf353cd4ac2a9dffc79c625b31f.html,No information available for time.,"£90,000.00","6 Strawberry Gardens, Wallsend",NE28 8BA,Not known,None,None,None
https://www.iamsold.co.uk/properties/00430bf353cd4ac2a9dffc79c625b31f.html,No information available for time.,"£90,000.00","6 Strawberry Gardens, Wallsend",NE28 8BA,"£75,000"," £71,000 "," £79,000",90%
https://www.iamsold.co.uk/properties/00430bf353cd4ac2a9dffc79c625b31f.html,No information available for time.,"£90,000.00","6 Strawberry Gardens, Wallsend",NE28 8BA,Not known,None,None,None
https://www.iamsold.co.uk/properties/00430bf353cd4ac2a9dffc79c625b31f.html,No information available for time.,"£90,000.00","6 Strawberry Gardens, Wallsend",NE28 8BA,"£112,000"," £104,000 "," £120,000",75%
https://www.iamsold.co.uk/properties/00430bf353cd4ac2a9dffc79c625b31f.html,No information available for time.,"£90,000.00","6 Strawberry Gardens, Wallsend",NE28 8BA,"£124,000"," £115,000 "," £133,000",74%
https://www.iamsold.co.uk/properties/00430bf353cd4ac2a9dffc79c625b31f.html,No information available for time.,"£90,000.00","6 Strawberry Gardens, Wallsend",NE28 8BA,"£93,000"," £83,000 "," £103,000",64%
https://www.iamsold.co.uk/properties/00430bf353cd4ac2a9dffc79c625b31f.html,No information available for time.,"£90,000.00","6 Strawberry Gardens, Wallsend",NE28 8BA,"£125,000"," £116,000 "," £135,000",74%
https://www.iamsold.co.uk/properties/00430bf353cd4ac2a9dffc79c625b31f.html,No information available for time.,"£90,000.00","6 Strawberry Gardens, Wallsend",NE28 8BA,"£94,000"," £84,000 "," £103,000",65%
https://www.iamsold.co.uk/properties/00430bf353cd4ac2a9dffc79c625b31f.html,No information available for time.,"£90,000.00","6 Strawberry Gardens, Wallsend",NE28 8BA,"£107,000"," £94,000 "," £119,000",60%
https://www.iamsold.co.uk/properties/00430bf353cd4ac2a9dffc79c625b31f.html,No information available for time.,"£90,000.00","6 Strawberry Gardens, Wallsend",NE28 8BA,"£125,000"," £119,000 "," £130,000",93%
https://www.iamsold.co.uk/properties/00430bf353cd4ac2a9dffc79c625b31f.html,No information available for time.,"£90,000.00","6 Strawberry Gardens, Wallsend",NE28 8BA,"£108,000"," £96,000 "," £120,000",62%
https://www.iamsold.co.uk/properties/00430bf353cd4ac2a9dffc79c625b31f.html,No information available for time.,"£90,000.00","6 Strawberry Gardens, Wallsend",NE28 8BA,"£107,000"," £95,000 "," £119,000",63%
https://www.iamsold.co.uk/properties/00430bf353cd4ac2a9dffc79c625b31f.html,No information available for time.,"£90,000.00","6 Strawberry Gardens, Wallsend",NE28 8BA,"£125,000"," £116,000 "," £135,000",74%
https://www.iamsold.co.uk/properties/00430bf353cd4ac2a9dffc79c625b31f.html,No information available for time.,"£90,000.00","6 Strawberry Gardens, Wallsend",NE28 8BA,"£96,000"," £85,000 "," £106,000",63%
https://www.iamsold.co.uk/properties/00430bf353cd4ac2a9dffc79c625b31f.html,No information available for time.,"£90,000.00","6 Strawberry Gardens, Wallsend",NE28 8BA,"£121,000"," £111,000 "," £130,000",72%
https://www.iamsold.co.uk/properties/00430bf353cd4ac2a9dffc79c625b31f.html,No information available for time.,"£90,000.00","6 Strawberry Gardens, Wallsend",NE28 8BA,"£121,000"," £111,000 "," £131,000",72%
https://www.iamsold.co.uk/properties/00430bf353cd4ac2a9dffc79c625b31f.html,No information available for time.,"£90,000.00","6 Strawberry Gardens, Wallsend",NE28 8BA,"£106,000"," £98,000 "," £113,000",83%
https://www.iamsold.co.uk/properties/00430bf353cd4ac2a9dffc79c625b31f.html,No information available for time.,"£90,000.00","6 Strawberry Gardens, Wallsend",NE28 8BA,"£94,000"," £85,000 "," £104,000",65%
https://www.iamsold.co.uk/properties/02916c8d10db4b58805ae0089f087196.html,No information available for time.,"£175,000.00","Front Street, Bishop Auckland",DL13 5DS,"£78,000",None,None,None
https://www.iamsold.co.uk/properties/02916c8d10db4b58805ae0089f087196.html,No information available for time.,"£175,000.00","Front Street, Bishop Auckland",DL13 5DS,"£195,000"," £77,000 "," £83,000",97%
https://www.iamsold.co.uk/properties/02916c8d10db4b58805ae0089f087196.html,No information available for time.,"£175,000.00","Front Street, Bishop Auckland",DL13 5DS,"£128,000",None,None,None
https://www.iamsold.co.uk/properties/02916c8d10db4b58805ae0089f087196.html,No information available for time.,"£175,000.00","Front Street, Bishop Auckland",DL13 5DS,"£158,000"," £71,000 "," £79,000",90%
https://www.iamsold.co.uk/properties/02916c8d10db4b58805ae0089f087196.html,No information available for time.,"£175,000.00","Front Street, Bishop Auckland",DL13 5DS,"£102,000",None,None,None
https://www.iamsold.co.uk/properties/02916c8d10db4b58805ae0089f087196.html,No information available for time.,"£175,000.00","Front Street, Bishop Auckland",DL13 5DS,"£51,000"," £104,000 "," £120,000",75%
https://www.iamsold.co.uk/properties/02916c8d10db4b58805ae0089f087196.html,No information available for time.,"£175,000.00","Front Street, Bishop Auckland",DL13 5DS,"£90,000"," £115,000 "," £133,000",74%
https://www.iamsold.co.uk/properties/02916c8d10db4b58805ae0089f087196.html,No information available for time.,"£175,000.00","Front Street, Bishop Auckland",DL13 5DS,"£47,000"," £83,000 "," £103,000",64%
https://www.iamsold.co.uk/properties/02916c8d10db4b58805ae0089f087196.html,No information available for time.,"£175,000.00","Front Street, Bishop Auckland",DL13 5DS,"£96,000"," £116,000 "," £135,000",74%
https://www.iamsold.co.uk/properties/02916c8d10db4b58805ae0089f087196.html,No information available for time.,"£175,000.00","Front Street, Bishop Auckland",DL13 5DS,"£114,000"," £84,000 "," £103,000",65%
https://www.iamsold.co.uk/properties/02916c8d10db4b58805ae0089f087196.html,No information available for time.,"£175,000.00","Front Street, Bishop Auckland",DL13 5DS,"£307,000"," £94,000 "," £119,000",60%
https://www.iamsold.co.uk/properties/02916c8d10db4b58805ae0089f087196.html,No information available for time.,"£175,000.00","Front Street, Bishop Auckland",DL13 5DS,"£102,000"," £119,000 "," £130,000",93%
https://www.iamsold.co.uk/properties/02916c8d10db4b58805ae0089f087196.html,No information available for time.,"£175,000.00","Front Street, Bishop Auckland",DL13 5DS,"£139,000"," £96,000 "," £120,000",62%
https://www.iamsold.co.uk/properties/02916c8d10db4b58805ae0089f087196.html,No information available for time.,"£175,000.00","Front Street, Bishop Auckland",DL13 5DS,"£156,000"," £95,000 "," £119,000",63%
https://www.iamsold.co.uk/properties/02916c8d10db4b58805ae0089f087196.html,No information available for time.,"£175,000.00","Front Street, Bishop Auckland",DL13 5DS,"£207,000"," £116,000 "," £135,000",74%
https://www.iamsold.co.uk/properties/02916c8d10db4b58805ae0089f087196.html,No information available for time.,"£175,000.00","Front Street, Bishop Auckland",DL13 5DS,"£292,000"," £85,000 "," £106,000",63%
https://www.iamsold.co.uk/properties/02916c8d10db4b58805ae0089f087196.html,No information available for time.,"£175,000.00","Front Street, Bishop Auckland",DL13 5DS,"£89,000"," £111,000 "," £130,000",72%
https://www.iamsold.co.uk/properties/02916c8d10db4b58805ae0089f087196.html,No information available for time.,"£175,000.00","Front Street, Bishop Auckland",DL13 5DS,Not known," £111,000 "," £131,000",72%
https://www.iamsold.co.uk/properties/02916c8d10db4b58805ae0089f087196.html,No information available for time.,"£175,000.00","Front Street, Bishop Auckland",DL13 5DS,"£169,000"," £98,000 "," £113,000",83%
https://www.iamsold.co.uk/properties/02916c8d10db4b58805ae0089f087196.html,No information available for time.,"£175,000.00","Front Street, Bishop Auckland",DL13 5DS,"£93,000"," £85,000 "," £104,000",65%
https://www.iamsold.co.uk/properties/02916c8d10db4b58805ae0089f087196.html,No information available for time.,"£175,000.00","Front Street, Bishop Auckland",DL13 5DS,"£182,000"," £76,000 "," £80,000",99%
https://www.iamsold.co.uk/properties/02916c8d10db4b58805ae0089f087196.html,No information available for time.,"£175,000.00","Front Street, Bishop Auckland",DL13 5DS,"£196,000"," £188,000 "," £202,000",87%
https://www.iamsold.co.uk/properties/02916c8d10db4b58805ae0089f087196.html,No information available for time.,"£175,000.00","Front Street, Bishop Auckland",DL13 5DS,"£237,000"," £121,000 "," £135,000",74%
https://www.iamsold.co.uk/properties/02916c8d10db4b58805ae0089f087196.html,No information available for time.,"£175,000.00","Front Street, Bishop Auckland",DL13 5DS,"£220,000"," £146,000 "," £170,000",46%
https://www.iamsold.co.uk/properties/02916c8d10db4b58805ae0089f087196.html,No information available for time.,"£175,000.00","Front Street, Bishop Auckland",DL13 5DS,"£180,000"," £96,000 "," £108,000",53%
https://www.iamsold.co.uk/properties/02916c8d10db4b58805ae0089f087196.html,No information available for time.,"£175,000.00","Front Street, Bishop Auckland",DL13 5DS,"£220,000"," £47,000 "," £54,000",66%
https://www.iamsold.co.uk/properties/02916c8d10db4b58805ae0089f087196.html,No information available for time.,"£175,000.00","Front Street, Bishop Auckland",DL13 5DS,"£194,000"," £83,000 "," £96,000",63%
https://www.iamsold.co.uk/properties/05749e83aeab40b8930b97bd7dd2a5b4.html,No information available for time.,"£70,000.00","Pinedale Drive, Durham",DH6 2XG,"£94,000",None,None,None
https://www.iamsold.co.uk/properties/05749e83aeab40b8930b97bd7dd2a5b4.html,No information available for time.,"£70,000.00","Pinedale Drive, Durham",DH6 2XG,Not known," £77,000 "," £83,000",97%
https://www.iamsold.co.uk/properties/05749e83aeab40b8930b97bd7dd2a5b4.html,No information available for time.,"£70,000.00","Pinedale Drive, Durham",DH6 2XG,"£92,000",None,None,None
https://www.iamsold.co.uk/properties/05749e83aeab40b8930b97bd7dd2a5b4.html,No information available for time.,"£70,000.00","Pinedale Drive, Durham",DH6 2XG,"£96,000"," £71,000 "," £79,000",90%
https://www.iamsold.co.uk/properties/05749e83aeab40b8930b97bd7dd2a5b4.html,No information available for time.,"£70,000.00","Pinedale Drive, Durham",DH6 2XG,"£89,000",None,None,None
https://www.iamsold.co.uk/properties/05749e83aeab40b8930b97bd7dd2a5b4.html,No information available for time.,"£70,000.00","Pinedale Drive, Durham",DH6 2XG,"£107,000"," £104,000 "," £120,000",75%
https://www.iamsold.co.uk/properties/05749e83aeab40b8930b97bd7dd2a5b4.html,No information available for time.,"£70,000.00","Pinedale Drive, Durham",DH6 2XG,"£98,000"," £115,000 "," £133,000",74%
