Link To Home,End Auction Time,Price,Location,Postal Code,Perperty Value,Low Range,High Range,Confidence
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,Not known,None,None,None
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,"£125,000"," £116,000 "," £134,000",73%
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,"£125,000"," £114,000 "," £136,000",71%
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,Not known,None,None,None
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,"£125,000"," £116,000 "," £134,000",74%
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,"£105,000"," £97,000 "," £112,000",76%
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,"£118,000"," £113,000 "," £124,000",93%
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,"£123,000"," £117,000 "," £130,000",86%
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,"£124,000"," £117,000 "," £131,000",81%
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,"£131,000"," £124,000 "," £137,000",87%
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,"£101,000"," £94,000 "," £109,000",77%
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,"£127,000"," £118,000 "," £135,000",76%
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,"£127,000"," £118,000 "," £135,000",76%
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,"£127,000"," £118,000 "," £135,000",76%
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,"£126,000"," £117,000 "," £135,000",74%
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,"£117,000"," £113,000 "," £121,000",95%
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,"£105,000"," £100,000 "," £111,000",89%
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,Not known,None,None,None
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,"£128,000"," £118,000 "," £137,000",74%
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,"£129,000"," £120,000 "," £137,000",76%
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,"£136,000"," £131,000 "," £141,000",93%
